,French,English
0,partie,part
1,histoire,history
2,chercher,search
3,seulement,only
4,police,police
5,pensais,thought
6,aide,help
7,demande,request
8,genre,kind
9,frère,brother
10,car,because
11,mettre,to put
12,aucun,no
13,laisse,leash
14,eux,them
15,ville,city
16,chaque,each
17,parlé,speak
18,arrivé,come
19,devrait,should
20,bébé,baby
21,longtemps,long time
22,heures,hours
23,vont,will
24,pendant,while
25,revoir,meet again
26,aucune,any
27,place,square
28,parle,speak
29,savais,knew
30,étaient,were
31,attention,Warning
32,voici,here is
33,pourrais,could
34,affaire,case
35,donner,give
36,type,type
37,leurs,their
38,donné,given
39,train,train
40,corps,body
41,endroit,place
42,yeux,eyes
43,écoute,listen
44,dont,whose
45,trouve,find
46,premier,first
47,perdu,lost
48,main,hand
49,première,first
50,pouvoir,power
51,vieux,old
52,sois,be
53,tiens,here
54,matin,morning
55,tellement,so much
56,enfant,child
57,venu,came
58,suite,after
59,pardon,sorry
60,venez,come
61,devant,in front of
62,vers,towards
63,minutes,minutes
64,demandé,request
65,chambre,bedroom
66,belle,beautiful
67,droit,law
68,aujourd'hui,today
69,mari,husband
70,cause,cause
71,enfin,finally
72,espère,hope
73,eau,water
74,attendez,Wait
75,parti,left
76,nouvelle,new
77,boulot,job
78,arrêter,Stop
79,dirait,would say
80,terre,Earth
81,compte,account
82,donne,given
83,loin,far
84,fin,end
85,croire,believe
86,chérie,sweetheart
87,gros,large
88,plutôt,rather
89,aura,will have
90,filles,girls
91,jouer,to play
92,bureau,office
